iso3c	year	voter_turnout	vap_turnout	lne_turnout	lne_type	lne_type2	lne_parl	lne_fo	concurrent	concurrent_parl	concurrent_else	tt_next	ne_days0	ne_count	ne_count2	ne_months	first_ep	cv
GRC	2009	52.539757428883966	59.18	74.15150262876482	parliament	parliament	1	1	0	0	0	3.966666666666667	630	3	2	21	0	1
GRC	2014	59.97374847282422	67.53	62.466277554440715	subnational	subnational	0	0	1	0	1	8.166666666666666	0	6	5	0.23333333333333334	0	1
GRC	2019	58.68521285743669	65.19	56.56502066708839	subnational	subnational	0	0	1	0	1	1.4	0	3	3	44.8	0	1
HRV	2013	20.832716471738404	22.7	61.946489699177306	referendum	referendum	0	0	0	0	0	1.1666666666666667	448	6	4	14.933333333333334	1	0
HRV	2014	25.242724116174184	26.39	61.946489699177306	referendum	referendum	0	0	0	0	0	7.233333333333333	175	9	6	5.833333333333333	0	0
HRV	2019	29.85065623776849	31.3	52.56162107717025	subnational	subnational	0	0	0	0	0	7	721	6	4	24.033333333333335	0	0
HUN	2004	38.63472608775095	38.37	70.53199060525355	referendum	referendum	0	0	0	0	0	5.833333333333333	428	4	3	14.266666666666667	1	0
HUN	2009	36.40619467228669	36	67.82830600901377	subnational	subnational	0	0	0	0	0	10.266666666666667	980	4	3	32.666666666666664	0	0
HUN	2014	28.96644931607561	28.96	61.803596632064504	parliament	parliament	1	1	0	0	0	4.666666666666667	49	4	3	1.6333333333333333	0	0
HUN	2019	43.55878168707099	43.23	69.67410326998728	parliament	parliament	1	1	0	0	0	4.666666666666667	413	3	3	13.766666666666667	0	0
IRL	1979	63.60957018418328	67.06	76.31291519046015	subnational	subnational	0	0	1	0	1	0.9333333333333333	0	2	2	24.033333333333335	1	0
IRL	1984	47.55710191911508	51.97	72.85967985823628	referendum	referendum	0	0	1	0	1	12.366666666666667	0	5	5	9.366666666666667	0	0
IRL	1989	68.27603241311931	73.69	68.09805579036349	parliament	parliament	1	1	1	1	0	17	0	4	4	25.033333333333335	0	0
IRL	1994	43.97731396597095	47.92	68.4914486929398	subnational	subnational	0	0	0	0	0	17.733333333333334	1	5	5	0.03333333333333333	0	0
IRL	1999	50.21318891019673	54.72	65.9160634773327	subnational	subnational	0	0	1	0	1	33.3	0	5	5	12.833333333333334	0	0
IRL	2004	58.58480285712013	62.52	62.5749748598765	subnational	subnational	0	0	1	0	1	35.9	0	3	3	20.033333333333335	0	0
IRL	2009	58.635528081395584	54.19	67.0299789708105	subnational	subnational	0	0	1	0	1	3.966666666666667	0	2	2	11.933333333333334	0	0
IRL	2014	52.44251155808252	47.45	69.89733407618742	subnational	subnational	0	0	1	0	1	12.133333333333333	0	6	6	7.7	0	0
